param,mean,median,0.950_CI_LB,0.950_CI_UB
alpha_loc_31_pop_0,0.000202,0.000431,-0.061796,0.062236
alpha_loc_32_pop_0,-0.000255,-0.000157,-0.061935,0.061001
alpha_loc_33_pop_0,0.000641,0.000268,-0.060777,0.062973
alpha_loc_34_pop_0,0.006396,0.005412,-0.052215,0.072491
alpha_loc_35_pop_0,0.000257,0.000115,-0.061607,0.061236
alpha_loc_36_pop_0,0.000606,0.000648,-0.062044,0.062419
alpha_loc_37_pop_0,0.000481,0.000285,-0.061634,0.062430
alpha_loc_38_pop_0,-0.000493,-0.000598,-0.062583,0.060618
alpha_loc_39_pop_0,-0.000042,-0.000128,-0.060142,0.060694
alpha_loc_40_pop_0,0.000799,0.000648,-0.059076,0.062947
alpha_loc_41_pop_0,0.000186,0.000139,-0.064498,0.063307
alpha_loc_42_pop_0,0.000287,0.000454,-0.060333,0.061163
alpha_loc_43_pop_0,0.000375,0.000129,-0.061863,0.062713
alpha_loc_44_pop_0,-0.000296,-0.000587,-0.060947,0.063292
alpha_loc_45_pop_0,-0.000416,-0.000538,-0.060788,0.061307
alpha_loc_46_pop_0,0.000036,0.000166,-0.062378,0.062185
alpha_loc_47_pop_0,-0.000101,-0.000036,-0.062202,0.062112
alpha_loc_48_pop_0,0.000286,0.000474,-0.060702,0.063305
alpha_loc_49_pop_0,0.000290,0.000110,-0.061448,0.062812
alpha_loc_50_pop_0,0.000284,0.000415,-0.061432,0.061276
alpha_loc_51_pop_0,0.000081,-0.000243,-0.064359,0.063658
alpha_loc_52_pop_0,-0.000522,-0.000319,-0.061703,0.060561
alpha_loc_53_pop_0,-0.000165,-0.000055,-0.062615,0.060610
alpha_loc_54_pop_0,0.000470,0.000351,-0.060895,0.060400
alpha_loc_55_pop_0,0.000276,0.000498,-0.063233,0.062374
alpha_loc_56_pop_0,0.000039,0.000119,-0.060086,0.061987
alpha_loc_57_pop_0,-0.000076,0.000067,-0.062795,0.062144
alpha_loc_58_pop_0,-0.000122,-0.000138,-0.061709,0.061401
alpha_loc_59_pop_0,0.000492,0.000339,-0.061203,0.061878
alpha_loc_60_pop_0,0.000046,-0.000092,-0.061175,0.062453
alpha_loc_61_pop_0,-0.000632,-0.000719,-0.062481,0.061096
alpha_loc_62_pop_0,-0.000387,-0.000485,-0.060500,0.060518
alpha_loc_63_pop_0,-0.000796,-0.000807,-0.063294,0.060435
alpha_loc_64_pop_0,-0.000291,-0.000330,-0.061880,0.061108
alpha_loc_65_pop_0,0.000019,0.000119,-0.060602,0.060272
alpha_loc_66_pop_0,0.000505,0.000180,-0.058839,0.061101
alpha_loc_67_pop_0,0.000414,0.000316,-0.059297,0.063775
alpha_loc_68_pop_0,0.000229,0.000087,-0.060371,0.061194
alpha_loc_69_pop_0,0.000548,0.000407,-0.061058,0.062637
alpha_loc_70_pop_0,0.000314,0.000073,-0.062332,0.063734
alpha_loc_71_pop_0,0.000024,-0.000014,-0.060984,0.062533
alpha_loc_72_pop_0,0.000233,0.000297,-0.063080,0.063293
alpha_loc_73_pop_0,-0.000166,-0.000122,-0.061708,0.061348
alpha_loc_74_pop_0,0.001136,0.000761,-0.061208,0.064171
alpha_loc_75_pop_0,-0.000452,-0.000352,-0.062515,0.060441
alpha_loc_76_pop_0,0.000302,0.000104,-0.062304,0.060875
alpha_loc_77_pop_0,0.001388,0.000985,-0.059955,0.063448
alpha_loc_78_pop_0,-0.000033,0.000236,-0.060436,0.061927
alpha_loc_79_pop_0,0.000129,0.000028,-0.060609,0.062148
alpha_loc_80_pop_0,-0.000239,-0.000632,-0.062456,0.061786
alpha_loc_81_pop_0,0.000376,0.000327,-0.060275,0.063031
alpha_loc_82_pop_0,-0.000237,0.000183,-0.061581,0.062439
alpha_loc_83_pop_0,0.000003,-0.000040,-0.064019,0.062661
alpha_loc_84_pop_0,-0.000136,-0.000293,-0.061233,0.060400
alpha_loc_85_pop_0,0.000740,0.000452,-0.060309,0.063024
alpha_loc_86_pop_0,0.000320,0.000347,-0.060198,0.062386
alpha_loc_87_pop_0,-0.000025,-0.000204,-0.061292,0.061237
alpha_loc_88_pop_0,-0.000478,-0.000250,-0.062269,0.060892
alpha_loc_89_pop_0,-0.001412,-0.000834,-0.064281,0.058715
alpha_loc_90_pop_0,0.000099,0.000063,-0.060236,0.060919
alpha_loc_91_pop_0,-0.002708,-0.002346,-0.065905,0.058710
alpha_loc_92_pop_0,0.000142,0.000330,-0.061429,0.061720
alpha_loc_93_pop_0,0.000040,0.000033,-0.060870,0.062748
alpha_loc_94_pop_0,-0.000267,-0.000144,-0.061011,0.060848
alpha_loc_95_pop_0,0.000322,0.000521,-0.062276,0.063604
alpha_loc_96_pop_0,0.000270,0.000319,-0.061072,0.062180
alpha_loc_97_pop_0,0.000392,0.000789,-0.062010,0.061474
alpha_loc_98_pop_0,0.001084,0.000850,-0.060004,0.064184
alpha_loc_99_pop_0,0.000632,0.000465,-0.059787,0.063902
alpha_loc_100_pop_0,-0.000034,-0.000077,-0.062279,0.062500
alpha_loc_101_pop_0,-0.000577,-0.000199,-0.063828,0.059819
alpha_loc_102_pop_0,-0.000000,-0.000190,-0.060835,0.061261
alpha_loc_103_pop_0,-0.000474,-0.000522,-0.061571,0.062422
alpha_loc_104_pop_0,-0.000423,-0.000208,-0.062541,0.061011
alpha_loc_105_pop_0,0.000875,0.000896,-0.058875,0.061826
alpha_loc_106_pop_0,0.000314,0.000141,-0.060533,0.063252
alpha_loc_107_pop_0,-0.000735,-0.000626,-0.062611,0.059493
alpha_loc_108_pop_0,0.000051,-0.000052,-0.061333,0.061827
alpha_loc_109_pop_0,0.000084,-0.000112,-0.061498,0.062056
alpha_loc_110_pop_0,0.000454,0.000443,-0.060653,0.060143
alpha_loc_111_pop_0,0.000647,0.000722,-0.059681,0.061075
alpha_loc_112_pop_0,0.000443,0.000512,-0.059959,0.060850
alpha_loc_113_pop_0,-0.000092,-0.000045,-0.061573,0.060501
alpha_loc_114_pop_0,0.000328,0.000043,-0.062133,0.063607
alpha_loc_115_pop_0,-0.000168,0.000212,-0.060922,0.059788
alpha_loc_116_pop_0,-0.000555,-0.000259,-0.060758,0.059788
alpha_loc_117_pop_0,-0.000533,-0.000274,-0.061650,0.059906
alpha_loc_118_pop_0,-0.000259,-0.000038,-0.062333,0.062373
alpha_loc_119_pop_0,0.000194,0.000515,-0.061169,0.060971
alpha_loc_120_pop_0,-0.001477,-0.001052,-0.064078,0.060266
alpha_loc_121_pop_0,0.000953,0.000721,-0.059753,0.062551
alpha_loc_122_pop_0,0.000383,-0.000029,-0.060960,0.063193
alpha_loc_123_pop_0,-0.000141,-0.000380,-0.061429,0.061620
alpha_loc_124_pop_0,-0.000464,-0.000307,-0.062344,0.062271
alpha_loc_125_pop_0,-0.000662,-0.000869,-0.062682,0.062266
alpha_loc_126_pop_0,-0.000155,-0.000341,-0.061052,0.061079
alpha_loc_127_pop_0,-0.000541,-0.000823,-0.061631,0.060355
alpha_loc_128_pop_0,-0.000044,0.000055,-0.062715,0.061414
alpha_loc_129_pop_0,0.000622,0.000557,-0.062794,0.063207
alpha_loc_130_pop_0,-0.000807,-0.000728,-0.062991,0.060227
alpha_loc_131_pop_0,0.000067,0.000267,-0.060233,0.060305
alpha_loc_132_pop_0,-0.000217,-0.000122,-0.061685,0.060049
alpha_loc_133_pop_0,0.000064,0.000446,-0.061649,0.061538
alpha_loc_134_pop_0,0.000167,0.000032,-0.061917,0.061362
alpha_loc_135_pop_0,0.000073,0.000423,-0.061482,0.060806
alpha_loc_136_pop_0,0.000610,0.000455,-0.061989,0.061949
alpha_loc_137_pop_0,-0.000129,-0.000072,-0.059112,0.060922
alpha_loc_138_pop_0,0.000263,0.000172,-0.061799,0.061517
alpha_loc_139_pop_0,-0.001189,-0.000814,-0.062308,0.059683
alpha_loc_140_pop_0,0.000025,-0.000185,-0.062630,0.061682
alpha_loc_141_pop_0,-0.001355,-0.000928,-0.062828,0.059260
alpha_loc_142_pop_0,0.000272,0.000399,-0.061567,0.061981
alpha_loc_143_pop_0,0.001363,0.001161,-0.059010,0.063359
alpha_loc_144_pop_0,0.002483,0.001674,-0.058414,0.066857
alpha_loc_145_pop_0,0.000638,0.000754,-0.059201,0.061679
alpha_loc_146_pop_0,-0.000525,-0.000618,-0.061817,0.061452
alpha_loc_147_pop_0,0.000508,0.000307,-0.061933,0.063023
alpha_loc_148_pop_0,0.000022,0.000356,-0.061994,0.060141
alpha_loc_149_pop_0,-0.000305,-0.000169,-0.061446,0.061701
alpha_loc_150_pop_0,-0.000628,-0.000870,-0.062380,0.061021
alpha_loc_151_pop_0,-0.000159,0.000274,-0.061984,0.060721
alpha_loc_152_pop_0,0.004328,0.003626,-0.056210,0.066546
alpha_loc_153_pop_0,0.000314,0.000054,-0.060555,0.062497
alpha_loc_154_pop_0,0.000457,-0.000090,-0.062121,0.062939
alpha_loc_155_pop_0,0.000118,0.000243,-0.062190,0.061961
alpha_loc_156_pop_0,0.000393,0.000451,-0.062251,0.062527
alpha_loc_157_pop_0,0.001360,0.000893,-0.059828,0.064648
alpha_loc_158_pop_0,0.000311,0.000155,-0.061352,0.062420
alpha_loc_159_pop_0,-0.000405,-0.000498,-0.062429,0.061639
alpha_loc_160_pop_0,-0.000092,-0.000147,-0.062749,0.061786
alpha_loc_161_pop_0,0.000303,0.000432,-0.063681,0.062942
alpha_loc_162_pop_0,-0.000494,-0.000561,-0.060269,0.059118
alpha_loc_163_pop_0,0.000025,-0.000148,-0.061447,0.062591
alpha_loc_164_pop_0,-0.000442,-0.000257,-0.062210,0.060289
alpha_loc_165_pop_0,-0.000085,-0.000106,-0.061027,0.061816
alpha_loc_166_pop_0,0.000202,0.000202,-0.062784,0.063088
alpha_loc_167_pop_0,0.000051,0.000475,-0.063236,0.062359
alpha_loc_168_pop_0,-0.000030,0.000033,-0.063214,0.061018
alpha_loc_169_pop_0,0.000205,-0.000041,-0.061750,0.062259
alpha_loc_170_pop_0,-0.000271,-0.000225,-0.062614,0.061048
alpha_loc_171_pop_0,0.000134,0.000007,-0.059963,0.062394
alpha_loc_172_pop_0,-0.000799,-0.000898,-0.063167,0.063122
alpha_loc_173_pop_0,0.000740,0.000474,-0.059180,0.064518
alpha_loc_174_pop_0,0.000226,-0.000227,-0.060956,0.062524
alpha_loc_175_pop_0,-0.000494,-0.000229,-0.063591,0.061408
alpha_loc_176_pop_0,0.000042,-0.000191,-0.062966,0.062588
alpha_loc_177_pop_0,0.001037,0.000658,-0.057470,0.062507
alpha_loc_178_pop_0,-0.000968,-0.000853,-0.062928,0.060251
alpha_loc_179_pop_0,0.000758,0.000435,-0.059785,0.062761
alpha_loc_180_pop_0,-0.000816,-0.000724,-0.061224,0.058883
alpha_loc_181_pop_0,0.000151,-0.000382,-0.061159,0.063423
alpha_loc_182_pop_0,-0.000062,0.000283,-0.063166,0.061425
alpha_loc_183_pop_0,-0.000833,-0.000933,-0.063901,0.061362
alpha_loc_184_pop_0,-0.000413,-0.000324,-0.062051,0.060555
alpha_loc_185_pop_0,0.001126,0.000740,-0.060166,0.062778
alpha_loc_186_pop_0,-0.000021,-0.000004,-0.062977,0.062266
alpha_loc_187_pop_0,-0.000033,-0.000284,-0.061826,0.064404
alpha_loc_188_pop_0,0.000152,-0.000181,-0.059732,0.061776
alpha_loc_189_pop_0,-0.001036,-0.001152,-0.061767,0.058485
alpha_loc_190_pop_0,0.000319,0.000154,-0.060003,0.061792
alpha_loc_191_pop_0,0.000404,0.000281,-0.060863,0.063896
alpha_loc_192_pop_0,-0.000105,-0.000066,-0.060281,0.061018
alpha_loc_193_pop_0,0.000356,0.000439,-0.060400,0.061777
alpha_loc_194_pop_0,0.000200,0.000269,-0.062344,0.062248
alpha_loc_195_pop_0,0.000867,0.001326,-0.061892,0.061823
alpha_loc_196_pop_0,-0.000143,0.000165,-0.061932,0.061321
alpha_loc_197_pop_0,-0.000563,-0.000469,-0.065470,0.062604
alpha_loc_198_pop_0,-0.000469,-0.000205,-0.063558,0.061067
alpha_loc_199_pop_0,0.000556,0.000339,-0.060699,0.063214
alpha_loc_200_pop_0,0.002114,0.001742,-0.058805,0.064983
alpha_loc_201_pop_0,0.000577,0.000320,-0.058938,0.062118
alpha_loc_202_pop_0,0.000060,0.000124,-0.063138,0.062170
alpha_loc_203_pop_0,0.000932,0.000661,-0.061231,0.064259
alpha_loc_204_pop_0,-0.001213,-0.001334,-0.063793,0.059720
alpha_loc_205_pop_0,-0.000555,-0.000554,-0.062861,0.059633
alpha_loc_206_pop_0,-0.002551,-0.002067,-0.065704,0.056674
alpha_loc_207_pop_0,-0.001308,-0.001053,-0.064470,0.058891
alpha_loc_208_pop_0,0.000349,0.000320,-0.060441,0.062129
alpha_loc_209_pop_0,0.002889,0.002270,-0.057215,0.065691
alpha_loc_210_pop_0,0.000586,0.000431,-0.061124,0.062185
alpha_loc_211_pop_0,0.000573,0.000334,-0.062100,0.062798
alpha_loc_212_pop_0,-0.000383,-0.000292,-0.063486,0.060524
alpha_loc_213_pop_0,0.001161,0.000582,-0.057897,0.064947
alpha_loc_214_pop_0,0.000051,-0.000165,-0.062636,0.062613
alpha_loc_215_pop_0,0.000345,0.000479,-0.060850,0.062515
alpha_loc_216_pop_0,-0.000254,0.000027,-0.061956,0.060134
alpha_loc_217_pop_0,-0.000034,-0.000425,-0.061406,0.061634
alpha_loc_218_pop_0,-0.000680,-0.000559,-0.061329,0.060838
alpha_loc_219_pop_0,-0.000230,-0.000005,-0.063414,0.061466
alpha_loc_220_pop_0,-0.000618,-0.000266,-0.063203,0.061124
alpha_loc_221_pop_0,0.001375,0.001068,-0.059512,0.062437
alpha_loc_222_pop_0,-0.000446,-0.000792,-0.061232,0.062120
alpha_loc_223_pop_0,0.000036,0.000056,-0.061091,0.062385
alpha_loc_224_pop_0,-0.000327,0.000164,-0.062053,0.060606
alpha_loc_225_pop_0,0.001702,0.001503,-0.058627,0.063603
alpha_loc_226_pop_0,0.000253,0.000264,-0.061252,0.061337
alpha_loc_227_pop_0,0.003857,0.003768,-0.056403,0.067963
alpha_loc_228_pop_0,-0.000875,-0.000995,-0.062926,0.061135
alpha_loc_229_pop_0,-0.000294,-0.000152,-0.062945,0.061259
alpha_loc_230_pop_0,0.001781,0.001819,-0.058381,0.064289
alpha_loc_231_pop_0,0.000166,0.000088,-0.059708,0.062063
alpha_loc_232_pop_0,0.000505,-0.000056,-0.061778,0.062285
alpha_loc_233_pop_0,-0.002154,-0.001952,-0.065435,0.057988
alpha_loc_234_pop_0,0.000357,0.000280,-0.060861,0.062709
alpha_loc_235_pop_0,-0.000218,0.000062,-0.061501,0.061467
alpha_loc_236_pop_0,0.000426,0.000650,-0.060015,0.061528
alpha_loc_237_pop_0,-0.000357,-0.000464,-0.062508,0.059976
alpha_loc_238_pop_0,-0.000556,-0.000392,-0.062648,0.060992
alpha_loc_239_pop_0,-0.000273,-0.000487,-0.063355,0.060901
alpha_loc_240_pop_0,0.000185,0.000103,-0.059662,0.060347
alpha_loc_241_pop_0,-0.000363,-0.000326,-0.062202,0.060767
alpha_loc_242_pop_0,0.000377,0.000504,-0.062463,0.062205
alpha_loc_243_pop_0,0.000104,0.000103,-0.061604,0.060222
alpha_loc_244_pop_0,-0.000296,-0.000296,-0.061570,0.060594
alpha_loc_245_pop_0,-0.000397,-0.000371,-0.060910,0.060446
alpha_loc_246_pop_0,-0.000309,-0.000097,-0.061903,0.062098
alpha_loc_247_pop_0,-0.000280,-0.000256,-0.063014,0.060439
alpha_loc_248_pop_0,-0.000468,-0.000466,-0.063659,0.061431
alpha_loc_249_pop_0,-0.000803,-0.000749,-0.062151,0.060408
alpha_loc_250_pop_0,0.000138,0.000228,-0.061844,0.061186
alpha_loc_251_pop_0,0.004970,0.003961,-0.055075,0.069783
alpha_loc_252_pop_0,-0.000013,0.000008,-0.061285,0.062146
alpha_loc_253_pop_0,0.000024,-0.000258,-0.062108,0.063720
alpha_loc_254_pop_0,-0.000093,0.000267,-0.062499,0.061730
alpha_loc_255_pop_0,-0.000444,0.000007,-0.064679,0.061096
alpha_loc_256_pop_0,0.000754,0.000366,-0.059573,0.061479
alpha_loc_257_pop_0,0.000713,0.000492,-0.061961,0.063740
alpha_loc_258_pop_0,-0.000194,-0.000033,-0.060984,0.061223
alpha_loc_259_pop_0,0.002258,0.001859,-0.058969,0.066204
alpha_loc_260_pop_0,0.000153,0.000257,-0.062084,0.060887
alpha_loc_261_pop_0,0.000252,-0.000169,-0.059971,0.062936
alpha_loc_262_pop_0,-0.000351,0.000314,-0.062149,0.060623
alpha_loc_263_pop_0,0.000343,-0.000382,-0.062012,0.064063
alpha_loc_264_pop_0,-0.000135,-0.000139,-0.060457,0.061230
alpha_loc_265_pop_0,0.000067,0.000075,-0.062199,0.063910
alpha_loc_266_pop_0,-0.001285,-0.001300,-0.063438,0.061391
alpha_loc_267_pop_0,-0.000437,-0.000210,-0.062526,0.061909
alpha_loc_268_pop_0,-0.000250,-0.000390,-0.061004,0.060497
alpha_loc_269_pop_0,-0.000770,-0.000608,-0.061867,0.059535
alpha_loc_270_pop_0,0.000271,0.000253,-0.060032,0.062210
alpha_loc_271_pop_0,0.000378,0.000150,-0.062378,0.063705
alpha_loc_272_pop_0,-0.000187,-0.000020,-0.061429,0.062938
alpha_loc_273_pop_0,-0.000036,0.000094,-0.063299,0.061726
alpha_loc_274_pop_0,0.001257,0.000634,-0.058874,0.063983
alpha_loc_275_pop_0,0.000338,0.000147,-0.061175,0.063398
alpha_loc_276_pop_0,-0.000377,-0.000102,-0.063437,0.060573
alpha_loc_277_pop_0,-0.000065,0.000108,-0.061813,0.061157
alpha_loc_278_pop_0,-0.000606,-0.000670,-0.060810,0.060187
alpha_loc_279_pop_0,-0.000716,-0.000727,-0.064342,0.063352
alpha_loc_280_pop_0,0.000110,0.000088,-0.061808,0.061199
alpha_loc_281_pop_0,0.000320,0.000187,-0.060695,0.063303
alpha_loc_282_pop_0,0.000326,0.000492,-0.060125,0.060928
alpha_loc_283_pop_0,0.000053,-0.000151,-0.062458,0.062285
alpha_loc_284_pop_0,-0.000502,-0.000340,-0.061642,0.061295
alpha_loc_285_pop_0,0.000024,-0.000041,-0.061338,0.061390
alpha_loc_286_pop_0,-0.000347,-0.000357,-0.064008,0.060782
alpha_loc_287_pop_0,0.000450,-0.000028,-0.060485,0.061851
alpha_loc_288_pop_0,-0.000241,-0.000217,-0.061085,0.060376
alpha_loc_289_pop_0,-0.000203,-0.000118,-0.061524,0.062256
alpha_loc_290_pop_0,-0.000387,-0.000148,-0.063706,0.061086
alpha_loc_291_pop_0,0.002002,0.001886,-0.059950,0.064807
alpha_loc_292_pop_0,0.008913,0.007429,-0.049031,0.073740
alpha_loc_293_pop_0,0.000139,0.000347,-0.062269,0.061904
alpha_loc_294_pop_0,-0.000377,-0.000419,-0.061804,0.061825
alpha_loc_295_pop_0,-0.000142,-0.000196,-0.062481,0.062828
alpha_loc_296_pop_0,-0.000072,-0.000063,-0.063397,0.061594
alpha_loc_297_pop_0,0.000333,0.000143,-0.059361,0.062132
alpha_loc_298_pop_0,-0.000381,-0.000830,-0.059957,0.061468
alpha_loc_299_pop_0,-0.000563,-0.000530,-0.063161,0.061153
alpha_loc_300_pop_0,0.000900,0.000837,-0.062142,0.063007
alpha_loc_301_pop_0,0.000397,0.001051,-0.063262,0.060640
alpha_loc_302_pop_0,-0.000155,-0.000139,-0.060980,0.061151
alpha_loc_303_pop_0,0.000082,0.000071,-0.061505,0.062273
alpha_loc_304_pop_0,-0.000241,-0.000426,-0.062192,0.062073
alpha_loc_305_pop_0,-0.000228,-0.000074,-0.061960,0.060451
alpha_loc_306_pop_0,-0.000042,0.000119,-0.063053,0.060789
alpha_loc_307_pop_0,0.000313,-0.000028,-0.061369,0.063364
alpha_loc_308_pop_0,-0.000125,-0.000265,-0.061041,0.062288
alpha_loc_309_pop_0,-0.000699,-0.000514,-0.063991,0.061530
alpha_loc_310_pop_0,-0.001180,-0.000501,-0.062855,0.058528
alpha_loc_311_pop_0,-0.000205,-0.000267,-0.061745,0.061099
alpha_loc_312_pop_0,0.000799,0.001271,-0.061430,0.061257
alpha_loc_313_pop_0,-0.000832,-0.001105,-0.062286,0.060969
alpha_loc_314_pop_0,0.000392,0.000246,-0.060090,0.060863
alpha_loc_315_pop_0,-0.000393,-0.000151,-0.062201,0.061895
alpha_loc_316_pop_0,0.000414,0.000939,-0.063385,0.063236
alpha_loc_317_pop_0,-0.000047,-0.000089,-0.061143,0.061406
alpha_loc_318_pop_0,-0.000292,-0.000523,-0.061895,0.061893
alpha_loc_319_pop_0,0.000218,0.000159,-0.061975,0.063094
alpha_loc_320_pop_0,-0.000255,0.000052,-0.063335,0.061498
alpha_loc_321_pop_0,-0.000192,-0.000159,-0.061262,0.061177
alpha_loc_322_pop_0,-0.000312,-0.000515,-0.062595,0.060884
alpha_loc_323_pop_0,-0.000029,-0.000009,-0.062073,0.061670
alpha_loc_324_pop_0,-0.000036,-0.000065,-0.060500,0.061648
alpha_loc_325_pop_0,-0.000246,-0.000081,-0.060537,0.061771
alpha_loc_326_pop_0,0.000023,-0.000133,-0.063288,0.063040
alpha_loc_327_pop_0,-0.000160,-0.000164,-0.060972,0.060498
alpha_loc_328_pop_0,0.000131,0.000310,-0.060944,0.060532
alpha_loc_329_pop_0,0.000185,0.000139,-0.061213,0.061030
alpha_loc_330_pop_0,-0.000837,-0.000425,-0.061789,0.059012
alpha_loc_331_pop_0,0.000050,0.000230,-0.061282,0.061695
alpha_loc_332_pop_0,0.000604,0.000249,-0.059725,0.062798
alpha_loc_333_pop_0,0.000254,0.000024,-0.061156,0.060437
alpha_loc_334_pop_0,-0.000192,-0.000128,-0.060963,0.060108
alpha_loc_335_pop_0,0.000535,0.000283,-0.059544,0.062374
alpha_loc_336_pop_0,0.000433,0.000335,-0.060262,0.063284
alpha_loc_337_pop_0,-0.000815,-0.000624,-0.064242,0.060361
alpha_loc_338_pop_0,0.000122,0.000225,-0.061131,0.062233
alpha_loc_339_pop_0,0.000335,0.000102,-0.060741,0.062629
alpha_loc_340_pop_0,-0.000245,-0.000230,-0.062883,0.060553
alpha_loc_341_pop_0,-0.000526,-0.000198,-0.062675,0.058585
alpha_loc_342_pop_0,-0.001260,-0.001189,-0.064421,0.061535
alpha_loc_343_pop_0,0.000593,0.000308,-0.059688,0.062305
alpha_loc_344_pop_0,-0.000566,0.000054,-0.063358,0.059206
alpha_loc_345_pop_0,-0.000313,0.000127,-0.060367,0.059668
alpha_loc_346_pop_0,-0.000207,-0.000264,-0.062033,0.061398
alpha_loc_347_pop_0,-0.001074,-0.001096,-0.062752,0.060463
alpha_loc_348_pop_0,-0.000880,-0.000694,-0.062865,0.060253
alpha_loc_349_pop_0,0.000217,0.000197,-0.062264,0.061610
alpha_loc_350_pop_0,0.000163,0.000216,-0.060559,0.060022
alpha_loc_351_pop_0,-0.000200,-0.000219,-0.062294,0.062068
alpha_loc_352_pop_0,-0.000490,-0.000282,-0.060933,0.060019
alpha_loc_353_pop_0,-0.000647,-0.000578,-0.061386,0.060215
alpha_loc_354_pop_0,-0.000215,-0.000088,-0.063900,0.061187
alpha_loc_355_pop_0,-0.000260,-0.000537,-0.062914,0.062534
alpha_loc_356_pop_0,0.000168,0.000011,-0.061669,0.062434
alpha_loc_357_pop_0,0.000575,0.000473,-0.063328,0.062447
alpha_loc_358_pop_0,-0.001089,-0.001379,-0.061760,0.060981
alpha_loc_359_pop_0,0.001384,0.000871,-0.060931,0.064234
alpha_loc_360_pop_0,-0.000831,-0.000066,-0.064429,0.059537
alpha_loc_361_pop_0,-0.000119,-0.000166,-0.062119,0.061012
alpha_loc_362_pop_0,0.001536,0.001413,-0.058737,0.062504
alpha_loc_363_pop_0,-0.000286,-0.000375,-0.060114,0.062352
alpha_loc_364_pop_0,-0.000857,-0.001055,-0.063312,0.062023
alpha_loc_365_pop_0,0.000917,0.000882,-0.059649,0.061450
alpha_loc_366_pop_0,0.000169,0.000102,-0.061010,0.063672
alpha_loc_367_pop_0,-0.000247,0.000129,-0.064909,0.062221
alpha_loc_368_pop_0,-0.000381,0.000032,-0.062112,0.060400
alpha_loc_369_pop_0,-0.000226,-0.000092,-0.061895,0.062313
alpha_loc_370_pop_0,0.000173,-0.000020,-0.062019,0.062197
alpha_loc_371_pop_0,0.000731,0.000660,-0.061032,0.061090
alpha_loc_372_pop_0,0.001367,0.001117,-0.061533,0.064640
alpha_loc_373_pop_0,-0.000860,-0.000571,-0.063640,0.059692
alpha_loc_374_pop_0,-0.000383,-0.001081,-0.061157,0.061591
alpha_loc_375_pop_0,0.000439,0.000504,-0.060697,0.063061
alpha_loc_376_pop_0,0.000538,0.000381,-0.060834,0.063008
alpha_loc_377_pop_0,0.000903,0.000838,-0.061713,0.063045
alpha_loc_378_pop_0,-0.000153,-0.000287,-0.061565,0.060768
alpha_loc_379_pop_0,0.000107,0.000170,-0.060942,0.062427
alpha_loc_380_pop_0,-0.002899,-0.002612,-0.064713,0.057200
alpha_loc_381_pop_0,0.000240,0.000204,-0.061512,0.062005
alpha_loc_382_pop_0,-0.001473,-0.001177,-0.065472,0.060856
alpha_loc_383_pop_0,-0.000652,-0.000404,-0.061995,0.059842
alpha_loc_384_pop_0,-0.001079,-0.001066,-0.063701,0.061558
alpha_loc_385_pop_0,-0.000005,0.000031,-0.060918,0.060406
alpha_loc_386_pop_0,-0.000329,-0.000551,-0.061236,0.062025
